creatorAddress,dappName
0xe750ad66de350f8110e305fb78ec6a9f594445e3,address.dapp.0xprotocol
0xfeeea80c14f72afab75b9a6b1de4bdc937698760,address.dapp.0xprotocol
0x9c767de6cf356dc7f9b6ce22bc3ff0fadc4bd168,address.dapp.0xprotocol
0xa3b2d1087bcebe59d188a23f75620612d967df72,address.dapp.0xprotocol
0x4d4fc2b1d694d3d7647443b79a7efd3bf4efdb41,address.dapp.0xprotocol
0x013a18430fee600990fb560b5cb4be5cefaadcdb,address.dapp.0xprotocol
0xa3ece5d5b6319fa785efc10d3112769a46c6e149,address.dapp.0xprotocol
0x3b39078f2a3e1512eecc8d6792fdc7f33e1cd2cf,address.dapp.0xprotocol
0x2d7dc2ef7c6f6a2cbc3dba4db97b2ddb40e20713,address.dapp.0xprotocol
0x571a6a108adb08f9ca54fe8605280f9ee0ed4af6,address.dapp.0xprotocol
0xae00455eac003408a2f10e895fbc6c6445535d56,address.dapp.1inch
0x66666600e43c6d9e1a249d29d58639dedfcd9ade,address.dapp.1inch
0xccbdbd9b0309a77fc6a56e087ff2765ff394012e,address.dapp.1inch
0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,address.dapp.1inch
0xd68c3f92f4a611e17ba67533b7ad3b2e7268e8c2,address.dapp.1inch
0xee4f7b6c39e7e87af01fb9e4cee0c893ff4d63f2,address.dapp.1inch
0x514df5293aa7ca53c05d79c37b836596c4abf687,address.dapp.1inch
0x7e1e3334130355799f833ffec2d731bca3e68af6,address.dapp.1inch
0x11799622f4d98a24514011e8527b969f7488ef47,address.dapp.1inch
0xf2ad4572ce38408ac846852a8a2b361ecb76e4fb,address.dapp.Bancor
0x009bb5e9fcf28e5e601b7d0e9e821da6365d0a9c,address.dapp.Bancor
0xb93081c32befda94168483c78b780e601f07b192,address.dapp.Bancor
0xc8021b971e69e60c5deede19528b33dcd52cdbd8,address.dapp.Bancor
0xdfee8dc240c6cadc2c7f7f9c257c259914dea84e,address.dapp.Bancor
0x36928500bc1dcd7af6a2b4008875cc336b927d57,address.dapp.Bitfnex
0x14d06788090769f669427b6aea1c0240d2321f34,address.dapp.Bitfnex
0x967a2d1d753b1c21011b395caac96274f142b01f,address.dapp.DDEX
0x841e69bb92fe815cef9ef9cd34fb8a36cb91c3c2,address.dapp.Safe
0x3fab184622dc19b6109349b94811493bf2a45362,address.dapp.Safe
0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77,address.dapp.Safe
0x1aa7451dd11b8cb16ac089ed7fe05efa00100a6a,address.dapp.Safe
0xad7149152a65e6ec97add7b1b1f917dcafcf9b21,address.dapp.Seawise
0x6cf6a8488d70b1743134d6d69950cda60325a42f,address.dapp.SideShift
0x8b41783ad99fcbeb8d575fa7a7b5a04fa0b8d80b,address.dapp.WBTC
0xbd723fc4f1d737dcfc48a07fe7336766d34cad5f,address.dapp.aave
0x60c8dc4762b217b4a00ff1824111077f331b1fbf,address.dapp.aave
0xa6842c2c7fece4cdc6a4aaad331eb1c7910e419a,address.dapp.aave
0xb90594ea5128a8178e132286dc2b7fbac7d7266c,address.dapp.aave
0x2bedd8645b407b3b6447fbc09b269ec7a5794606,address.dapp.aave
0x49598e2f08d11980e06c5507070f6dd97ce8f0bb,address.dapp.aave
0xe3fd707583932a99513a5c65c8463de769f5dadf,address.dapp.aave
0xeaf6183bab3efd3bf856ac5c058431c8592394d6,address.dapp.aave
0xf82e119a20c3103ac5dc5b4a0a84776a034a97b5,address.dapp.aave
0x30fe242a69d7694a931791429815db792e24cf97,address.dapp.aave
0x51f22ac850d29c879367a77d241734acb276b815,address.dapp.aave
0x2357df661d0e56140df30c3ad0b2b426fb4666e6,address.dapp.aave
0x46bcf35d96eda5e5f6ec48c7956bb4ed9caba1f2,address.dapp.aave
0x076d6da60aaac6c97a8a0fe8057f9564203ee545,address.dapp.aave
0x2fbb0c60a41cb7ea5323071624dcead3d213d0fa,address.dapp.aave
0x526d542ffbae26d510cd610b8050438586fd203c,address.dapp.alchemist&address.dapp.alchemix
0x51e029a5ef288fb87c5e8dd46895c353ad9aaaec,address.dapp.alchemist&address.dapp.alchemix
0x5681e3fa52175666b41944598ebdbf442f6dba83,address.dapp.alchemist&address.dapp.alchemix
0xbd1ae20b68b1e7a9d5aae541a4fa000385523afe,address.dapp.alkemi-earn
0x520da6e55eb070aa872cd08fe2665da44535cd33,address.dapp.alkemi-earn
0x83f53c078bf81f6d8b79e01e2ed36c473a960c5e,address.dapp.allbridge
0xc0151f80d5e209caa10dfdbd6fc2a6dd921fcb58,address.dapp.allbridge
0x5b9e5a35f1df6f8683fb429763775d9d873e100c,address.dapp.allbridge
0xb593d82d53e2c187dc49673709a6e9f806cdc835,address.dapp.alphaFinance
0x1aaf4143c3fe0d7ca78381c4672e4b08c4bc009f,address.dapp.alphaFinance
0xc86693bd14f8df03c0045c18dfaaace50af90c1c,address.dapp.atomex
0x8f633468fb391d1bdee77b5db8621373f18f7c78,address.dapp.atomex
0x30019eb135532bddf2da17659101cc000c73c8e4,address.dapp.auraFinance
0x010da5ff62b6e45f89fa7b2d8ced5a8b5754ec1b,address.dapp.auraFinance
0xa28ea848801da877e1844f954ff388e857d405e5,address.dapp.auraFinance
0xadff3ada12ed0f8a87e31e5a04dfd2ee054e1118,address.dapp.bZx
0xda25ee226e534d868f0dd8a459536b03fee9079b,address.dapp.badgerFinance
0xba1ba552a48c4b442b61c5549a402b6ad7090cf0,address.dapp.balancer
0x91f4df13350083edb30515019cf527c6b0490c54,address.dapp.balancer
0x398df9f7d65c177c00749ffc83cb34ba5e07bf8b,address.dapp.balancer
0x9098b50ee2d9e4c3c69928a691da3b192b4c9673,address.dapp.balancer
0xbc6b88d8b1e4787f57ab600f57f253a0239e5ae2,address.dapp.balancer
0x24a12fa313f57af541d447c594072a992c605dcf,address.dapp.balancer
0x3d64fb8a2ffd08c186e8060aa57c8011d8b999cc,address.dapp.balancer
0x697a71353a4bc1eb1356763018a229c27a3fba0c,address.dapp.balancer
0x696026162f17e3191597e62d380f9d3c9745bd13,address.dapp.balancer
0x6e9eef9b53a69f37efcab8489706e8b2bd82608b,address.dapp.balancer
0x089775364ea24957da94348cf740375826ed3330,address.dapp.balancer
0xb55a02af528308f5e5185fa1e59548e5e1acea85,address.dapp.balancer
0x78f65b93f579f8310f158857580b6bd8cbe87b46,address.dapp.barnbridge
0xc73add416e2119d20ce80e0904fc1877e33ef246,address.dapp.barnbridge
0x378a9c9c44b41c0e8970c358470e4e72eb782302,address.dapp.barnbridge
0x89d652c64d7cee18f5df53b24d9d29d130b18798,address.dapp.barnbridge
0x2184ad186ff046e1038d9ebbefab82e297f37e95,address.dapp.bifi
0x1b9dfc56e38b0f92448659c114e2347bd803911c,address.dapp.celerNetwork
0xbf58e21b232ceea012122dd1fd60daad5791aa2e,address.dapp.cfeth
0x0b9c29f0d69f3094371bc0a50cea64d734b4cdfe,address.dapp.cfeth
0xf55037738604fddfc4043d12f25124e94d7d1780,address.dapp.chainlink
0x6f61507f902e1c22bcd7aa2c0452cd2212009b61,address.dapp.chainlink
0x536ee6348b3790ec74c21fcbe3d990066e9b8ec7,address.dapp.chainlink
0x71c05a4ea5e9d5b1ac87bf962a043f5265d4bdc8,address.dapp.chainlink
0x8183f851eb1479b7191e97545b936446fbe08eba,address.dapp.chainlink
0x95ba4cf87d6723ad9c0db21737d862be80e93911,address.dapp.circle
0x96569be15df485a4979a0a305ed5b071e5161dd9,address.dapp.clipper-dex
0x1449e0687810bddd356ae6dd87789244a46d9adb,address.dapp.compound
0x4c8d290a1b368ac4728d83a9e8321fc3af2b39b1,address.dapp.compound
0x8a9edef69b077d64faf911ef38ee6272db548c55,address.dapp.compound
0x3e323c347d4bdd129741fe202b4038ee460beb50,address.dapp.compound
0xa8f4514e4db0ce95e30142cc8baa5e6c921e16a5,address.dapp.compound
0xd66e40b0c30595bec72153b502ac1e0c4785991b,address.dapp.compound
0x7cdb3ca0621c1da9422ad80fb3f441ec86fc5ac1,address.dapp.compound
0x54a37d93e57c5da659f508069cf65a381b61e189,address.dapp.compound
0x777cc5601087411d5d323a2f0dbca20a558f15c7,address.dapp.compound
0xfe83af639f769ead20bad76067abc120245a06a9,address.dapp.compound
0x7e4a8391c728fed9069b2962699ab416628b19fa,address.dapp.compound
0x18c8f1222083997405f2e482338a4650ac02e1d6,address.dapp.compound
0xbbfe34e868343e6f4f5e8b5308de980d7bd88c46,address.dapp.compound
0xcd8f976a4f5ba1f577adf7666ea2c5389d3ccd53,address.dapp.compound
0xa7ff0d561cd15ed525e31bbe0af3fe34ac2059f6,address.dapp.compound
0x3cafceed09e25951c33046699d07d7761eb3ed4f,address.dapp.compound
0xd82369aaec27c7a749afdb4eb71add9e64154cd6,address.dapp.compound
0x5f32db4e59165e2745496a456eaab10a03dd38be,address.dapp.compound
0x2b384212edc04ae8bb41738d05ba20e33277bf33,address.dapp.compound
0xcec237e83a080f3225ab1562605ee6dedf5644cc,address.dapp.compound
0x2c8c8dc3357be82b2d8e6ec8a12d5dde5036f1e2,address.dapp.compound
0xfd8c6ebe0d284f9d2c9665f17bba47032259e907,address.dapp.connext
0x155b15a7e9ff0e34ceaf2439589d5c661adc9493,address.dapp.connext
0x947b7742c403f20e5faccdac5e092c943e7d0277,address.dapp.convex
0x197939c1ca20c2b506d6811d8b6cdb3394471074,address.dapp.cream
0x546553718b1b255742566f10a34d86fc22f02b1f,address.dapp.cryptoComDefiSwap
0x7eeac6cddbd1d0b8af061742d41877d7f707289a,address.dapp.curve
0x7f7abe23fc1ad4884b726229ceaafb1179e9c9cf,address.dapp.curve
0x0000000000e189dd664b9ab08a33c4839953852c,address.dapp.curve
0xbf7d65d769e82e7b862df338223263ba33f72623,address.dapp.curve
0xc4ad0ef33a0a4dda3461c479ccb6c36d1e4b7be4,address.dapp.curve
0xb03c3d72132405048f85b4adeff16a04cfa86d7c,address.dapp.curve
0xbabe61887f1de2713c6f97e567623453d3c79f67,address.dapp.curve
0xc447fcaf1def19a583f97b3620627bf69c05b5fb,address.dapp.curve
0x07a3458ad662fbcdd4fca0b1b37be6a5b1bcd7ac,address.dapp.curve
0x054f2304f2e8faed143914a459b21fbef75346e0,address.dapp.curve
0xd6f0dabbbccd143f7d526a82ca176b5395ccc844,address.dapp.debridge
0x0422afb5481a21b3fea2c94e08dfad45da1975b7,address.dapp.defi-plaza
0x6f43161e3a56501ea14b2901132a4d9f0945e179,address.dapp.dforce
0x16cc37d06fe5061cd0023fb8d142abaabb396a2b,address.dapp.dodo
0x9c59990ec0177d87ed7d60a56f584e6b06c639a2,address.dapp.dodo
0x1dc662d3d7de14a57cd369e3a9e774f8f80d4214,address.dapp.dodo
0x0a530100affb0a06edd2ed74e335afc50624f345,address.dapp.dxdao
0xa2f79147143e9100e1dd65df277ac54825197148,address.dapp.dydx
0x3de55343499f59ceb3f1de47f2cd7eab28f2f5c6,address.dapp.dydx
0x422494292e7a9dda8778bb4ea05c2779a3d60f5d,address.dapp.elementFinance
0x98634f1cfba567ce9aa1be9d3f894e147c881c24,address.dapp.elementmarket
0x90284230d4796d307f9cc4a8d139867bd749be61,address.dapp.elementmarket
0x715b006d4723977ccdb1581a62948f6354752e62,address.dapp.elyfi
0xee009faf00cf54c1b4387829af7a8dc5f0c8c8c5,address.dapp.eulerFinance
0xacc706d8878bf63028b89b629e84591656fc1c7d,address.dapp.eulerFinance
0xbb7e74e8aa56efb7344ba555e5c659ce899d3ec7,address.dapp.everrise
0x297171fd91ff7e223381593358c772f85894f2bf,address.dapp.everrise
0xe4eb9b156e3094e5033f7acd3e2a7c5b3c62262b,address.dapp.everrise
0x0578355bcdd322ebbae65ff2f63119f43e69cdd3,address.dapp.everrise
0x263460df85a697dfa07f1d43042e250deaa93d59,address.dapp.everrise
0x33280d3a65b96eb878dd711abe9b2c0dbf740579,address.dapp.everrise
0x3678ea457328fc15e9788dc19750ecf9cafb2b62,address.dapp.everrise
